cycle,pangle,af,cmode
420,34.0,16.7436867,1.0,16.0
421,34.0333333,16.7401707,1.0,16.0
422,34.0666667,16.7364103,1.0,16.0
423,34.1,16.7323674,1.0,16.0
424,34.1333333,16.7280625,1.0,16.0
425,34.1666667,16.7235219,1.0,16.0
426,34.2,16.7187704,1.0,16.0
427,34.2333333,16.7138316,1.0,16.0
428,34.2666667,16.7087278,1.0,16.0
429,34.3,16.70348,1.0,16.0
430,34.3333333,16.698108,1.0,16.0
431,34.3666667,16.6926063,1.0,16.0
432,34.4,16.6869442,1.0,16.0
433,34.4333333,16.6811393,1.0,16.0
434,34.4666667,16.6752115,1.0,16.0
435,34.5,16.6691795,1.0,16.0
436,34.5333333,16.6630611,1.0,16.0
437,34.5666667,16.656873,1.0,16.0
438,34.6,16.6506311,1.0,16.0
439,34.6333333,16.6443503,1.0,16.0
440,34.6666667,16.6380165,1.0,16.0
441,34.7,16.6315992,1.0,16.0
442,34.7333333,16.625112,1.0,16.0
443,34.7666667,16.6185705,1.0,16.0
444,34.8,16.6119897,1.0,16.0
445,34.8333333,16.6053836,1.0,16.0
446,34.8666667,16.5987655,1.0,16.0
447,34.9,16.5921478,1.0,16.0
448,34.9333333,16.5855423,1.0,16.0
449,34.9666667,16.5789324,1.0,16.0
450,35.0,16.5722851,1.0,16.0
451,35.0333333,16.565611,1.0,16.0
452,35.0666667,16.5589222,1.0,16.0
453,35.1,16.5522302,1.0,16.0
454,35.1333333,16.5455454,1.0,16.0
455,35.1666667,16.5388781,1.0,16.0
456,35.2,16.5322375,1.0,16.0
457,35.2333333,16.5256326,1.0,16.0
458,35.2666667,16.5190718,1.0,16.0
459,35.3,16.5125458,1.0,16.0
460,35.3333333,16.5060142,1.0,16.0
461,35.3666667,16.4994788,1.0,16.0
462,35.4,16.4929501,1.0,16.0
463,35.4333333,16.4864379,1.0,16.0
464,35.4666667,16.4799517,1.0,16.0
465,35.5,16.4735,1.0,16.0
466,35.5333333,16.4670912,1.0,16.0
467,35.5666667,16.460733,1.0,16.0
468,35.6,16.4544327,1.0,16.0
469,35.6333333,16.4481941,1.0,16.0
470,35.6666667,16.4419829,1.0,16.0
471,35.7,16.4357794,1.0,16.0
472,35.7333333,16.4295914,1.0,16.0
473,35.7666667,16.4234281,1.0,16.0
474,35.8,16.417298,1.0,16.0
475,35.8333333,16.4112091,1.0,16.0
476,35.8666667,16.405169,1.0,16.0
477,35.9,16.3991849,1.0,16.0
478,35.9333333,16.3932633,1.0,16.0
479,35.9666667,16.3874106,1.0,16.0
480,36.0,16.3816167,1.0,16.0
481,36.0333333,16.3758404,1.0,16.0
482,36.0666667,16.370081,1.0,16.0
483,36.1,16.3643473,1.0,16.0
484,36.1333333,16.3586475,1.0,16.0
485,36.1666667,16.3529892,1.0,16.0
486,36.2,16.3473798,1.0,16.0
487,36.2333333,16.3418259,1.0,16.0
488,36.2666667,16.3363341,1.0,16.0
489,36.3,16.3309102,1.0,16.0
490,36.3333333,16.3255572,1.0,16.0
491,36.3666667,16.3202407,1.0,16.0
492,36.4,16.3149402,1.0,16.0
493,36.4333333,16.3096626,1.0,16.0
494,36.4666667,16.3044158,1.0,16.0
495,36.5,16.2992073,1.0,16.0
496,36.5333333,16.2940444,1.0,16.0
497,36.5666667,16.2889337,1.0,16.0
498,36.6,16.2838814,1.0,16.0
499,36.6333333,16.2788936,1.0,16.0
500,36.6666667,16.2739756,1.0,16.0
501,20.0,16.2691168,1.0,16.0
502,20.0333333,16.2642763,1.0,16.0
503,20.0666667,16.2594535,1.0,16.0
504,20.1,16.2546564,1.0,16.0
505,20.1333333,16.2498925,1.0,16.0
506,20.1666667,16.245169,1.0,16.0
507,20.2,16.2404924,1.0,16.0
508,20.2333333,16.2358692,1.0,16.0
509,20.2666667,16.2313052,1.0,16.0
510,20.3,16.2268059,1.0,16.0
511,20.3333333,16.2223733,1.0,16.0
512,20.3666667,16.217973,1.0,16.0
513,20.4,16.2135858,1.0,16.0
514,20.4333333,16.2092182,1.0,16.0
515,20.4666667,16.2048778,1.0,16.0
516,20.5,16.2005717,1.0,16.0
517,20.5333333,16.1963066,1.0,16.0
518,20.5666667,16.192089,1.0,16.0
