cycle,real_drel,ow_drel,phi
191,74.15948470000001,74.1594847,32.15853102000001
192,74.38927660000002,74.3892766,32.38833286000002
193,74.61455030000002,74.6145503,32.61361692000002
194,74.8351758,74.8351758,32.834253340000004
195,75.05102490000002,75.0510249,33.05011378000002
196,75.2619711000001,75.2619711,33.26107160000009
197,75.46789009999998,75.46789,33.46700249999998
198,75.66865939999991,75.6686594,33.66778397999991
199,75.8641589,75.8641589,33.86329580000001
200,76.05427029999998,76.0542703,34.053419799999986
201,76.23887749999994,76.2388775,34.23803959999995
202,76.41786669999999,76.4178667,34.417041399999995
203,76.5911261,76.5911262,34.59031354
204,76.75854660000005,76.7585467,34.75774678000005
205,76.92002130000003,76.9200212,34.91923436000003
206,77.07544519999999,77.0754452,35.074670999999995
207,77.22471640000003,77.2247163,35.223954940000034
208,77.36773500000004,77.367735,35.36698628000004
209,77.50440389999994,77.5044039,35.50366777999995
210,77.6346284,77.6346283,35.63390488
211,77.75831619999997,77.7583162,35.757605139999974
212,77.87537800000007,77.875378,35.87467940000007
213,77.98572689999992,77.9857269,35.98504061999992
214,78.08927870000002,78.0892787,36.088604600000025
215,78.18595189999996,78.1859519,36.185289979999965
216,78.27566790000003,78.2756679,36.27501802000003
217,78.35835080000004,78.3583508,36.35771268000004
218,78.43392729999994,78.4339273,36.43330093999994
219,78.50232740000001,78.5023274,36.50171266000002
220,78.56348349999996,78.5634835,36.56288023999996
221,78.61733119999997,78.6173313,36.61673927999997
222,78.66380909999998,78.663809,36.66322837999998
223,78.70285819999992,78.7028582,36.70228853999993
224,78.73442309999996,78.7344231,36.73386435999996
225,78.75845119999997,78.7584511,36.75790323999997
226,78.77489260000004,78.7748926,36.774355280000044
227,78.78370089999999,78.7837009,36.78317407999999
228,78.7848325,78.7848325,36.78431603999999
229,78.7782469,78.7782469,36.77774052
230,78.76390680000009,78.7639068,36.76341050000009
231,78.74177770000006,78.7417777,36.741291200000056
232,78.71182859999999,78.7118286,36.71135189999999
233,78.67403150000007,78.6740315,36.673564320000075
234,78.62836129999994,78.6283612,36.627903499999945
235,78.5747963,78.5747963,36.57434774000001
236,78.51331789999995,78.5133179,36.51287829999995
237,78.44391069999995,78.4439107,36.44348005999995
238,78.36656240000002,78.3665625,36.366140440000024
239,78.28126399999996,78.281264,36.28085071999997
240,78.18800950000002,78.1880095,36.18760462000002
241,78.08679629999995,78.0867962,36.08639967999995
242,77.97762450000005,77.9776246,35.97723586000005
243,77.86049809999997,77.8604982,35.860117439999975
244,77.7354239,77.7354239,35.735051080000005
245,77.60241180000003,77.6024118,35.60204654000003
246,77.46147489999998,77.4614749,35.461117059999985
247,77.31262960000004,77.3126297,35.31227904000004
248,77.15589560000001,77.1558956,35.15555218000001
249,76.99129540000001,76.9912953,34.99095884000002
250,76.81885469999997,76.8188547,34.81852499999998
251,76.63860269999998,76.6386027,34.63827957999998
252,76.45057120000001,76.4505713,34.45025466000002
253,76.25479560000008,76.2547957,34.25448536000008
254,76.05131419999998,76.0513142,34.05100997999998
255,75.84016829999996,75.8401683,33.83987009999996
256,75.62140220000003,75.6214022,33.621109880000034
257,75.39506349999999,75.3950635,33.394776779999994
258,75.16120280000007,75.1612028,33.16092168000007
259,74.91987340000003,74.9198735,32.91959760000003
260,74.67113200000006,74.671132,32.67086138000006
261,74.41503810000006,74.415038,32.414772520000064
262,74.15165379999996,74.1516538,32.151393119999966
263,73.88104469999996,73.8810448,31.880788639999963
264,73.60327900000004,73.603279,31.603027560000044
265,73.3184278,73.3184278,31.3181807
266,73.02656480000007,73.0265648,31.026322040000075
267,72.7277669,72.7277669,30.72752820000001
268,72.42211359999999,72.4221136,30.421878819999996
269,72.10968720000005,72.1096871,30.109456200000054
270,71.79057239999997,71.7905723,29.790345039999977
271,71.46485699999994,71.4648569,29.46463313999994
272,71.13263109999991,71.1326311,29.132410599999915
273,70.79398789999993,70.7939878,28.79377061999994
274,70.44902250000007,70.4490224,28.448808300000067
275,70.09783300000004,70.0978329,28.09762160000004
276,69.7405197999999,69.7405198,27.7403111999999
277,69.37718590000009,69.3771858,27.376979960000092
278,69.00793639999995,69.0079364,27.007732839999953
279,68.63287920000005,68.6328792,26.63267802000005
280,68.25212429999999,68.2521242,26.251925359999994
281,67.86578370000007,67.8657838,25.865586720000067
282,67.47397219999993,67.4739723,25.473777179999935
283,67.07680650000009,67.0768065,25.07661330000009
284,66.67440520000002,66.6744052,24.674213540000025
285,66.26688950000005,66.2668895,24.26669938000005
286,65.85438220000003,65.8543822,23.854193480000035
287,65.43700820000004,65.4370083,23.436820740000037
288,65.01489479999998,65.0148948,23.01470845999998
289,64.58817040000008,64.5881705,22.587985040000085
290,64.15698499999996,64.1569849,22.15754275999997
291,63.72158680000007,63.7215868,21.72552570000007
292,63.28238399999998,63.282384,21.29476307999998
293,62.83996100000002,62.8399611,20.868248700000017
294,62.39506620000009,62.3950662,20.448834740000088
295,61.94858399999998,61.9485839,20.039063199999987
296,61.50150120000001,61.5015012,19.641083720000005
297,61.054872000000046,61.054872,19.25662628000005
298,60.60978339999997,60.6097835,18.88700677999997
299,60.16732650000006,60.1673265,18.53315252000006
300,59.72856920000004,59.7285692,18.195639020000044
301,59.294535999999994,59.294536,17.874731979999993
302,58.86619080000003,58.8661908,17.570431400000032
303,58.44442389999995,58.444424,17.282513879999946
